"ספר דברי הימים/דה""א א"	0	<noinclude>{{תבנית:טעמי המקרא באינטרנט}}//{{מ:שוליים|5}}//{{תבנית:משתמש:Dovi/טעמי המקרא}}//</noinclude>		
"ספר דברי הימים/דה""א א"	א	{{מ:ספר חדש|דברי הימים}}	{{מ:פסוק|דברי הימים א|א|א|סדר=א}}	"{{נוסח|{{מ:אות-ג|אָ}}דָ֥ם|=ת ומ""ש ובדפוסים וקורן|א=אָדָ֥ם}} שֵׁ֖ת אֱנֽוֹשׁ׃"
"ספר דברי הימים/דה""א א"	ב	__	{{מ:פסוק|דברי הימים א|א|ב}}	קֵינָ֥ן מַהֲלַלְאֵ֖ל יָֽרֶד׃
"ספר דברי הימים/דה""א א"	ג	__	{{מ:פסוק|דברי הימים א|א|ג}}	חֲנ֥וֹךְ מְתוּשֶׁ֖לַח לָֽמֶךְ׃
"ספר דברי הימים/דה""א א"	ד	__	{{מ:פסוק|דברי הימים א|א|ד}}	נֹ֥חַ שֵׁ֖ם חָ֥ם וָיָֽפֶת׃
"ספר דברי הימים/דה""א א"	ה	//{{סס}}	{{מ:פסוק|דברי הימים א|א|ה}}	בְּנֵ֣י יֶ֔פֶת גֹּ֣מֶר וּמָג֔וֹג וּמָדַ֖י וְיָוָ֣ן וְתֻבָ֑ל וּמֶ֖שֶׁךְ וְתִירָֽס׃
"ספר דברי הימים/דה""א א"	ו	//{{סס}}	{{מ:פסוק|דברי הימים א|א|ו}}	וּבְנֵ֖י גֹּ֑מֶר אַשְׁכְּנַ֥ז וְדִיפַ֖ת וְתוֹגַרְמָֽה׃
"ספר דברי הימים/דה""א א"	ז	//{{סס}}	{{מ:פסוק|דברי הימים א|א|ז}}	וּבְנֵ֥י יָוָ֖ן אֱלִישָׁ֣ה וְתַרְשִׁ֑ישָׁה כִּתִּ֖ים וְרוֹדָנִֽים׃
"ספר דברי הימים/דה""א א"	ח	//{{סס}}	{{מ:פסוק|דברי הימים א|א|ח}}	בְּנֵ֖י חָ֑ם כּ֥וּשׁ וּמִצְרַ֖יִם פּ֥וּט וּכְנָֽעַן׃
"ספר דברי הימים/דה""א א"	ט	__	{{מ:פסוק|דברי הימים א|א|ט}}	וּבְנֵ֣י כ֔וּשׁ סְבָא֙ וַֽחֲוִילָ֔ה וְסַבְתָּ֥א וְרַעְמָ֖א וְסַבְתְּכָ֑א וּבְנֵ֥י רַעְמָ֖א שְׁבָ֥א וּדְדָֽן׃
"ספר דברי הימים/דה""א א"	י	//{{סס}}	{{מ:פסוק|דברי הימים א|א|י}}	וְכ֖וּשׁ יָלַ֣ד אֶת־נִמְר֑וֹד ה֣וּא הֵחֵ֔ל לִֽהְי֥וֹת גִּבּ֖וֹר בָּאָֽרֶץ׃
"ספר דברי הימים/דה""א א"	יא	//{{סס}}	{{מ:פסוק|דברי הימים א|א|יא}}	"וּמִצְרַ֡יִם יָלַ֞ד אֶת־{{קו""כ|לודיים|לוּדִ֧ים}} וְאֶת־עֲנָמִ֛ים וְאֶת־לְהָבִ֖ים וְאֶת־נַפְתֻּחִֽים׃"
"ספר דברי הימים/דה""א א"	יב	__	{{מ:פסוק|דברי הימים א|א|יב}}	וְֽאֶת־פַּתְרֻסִ֞ים וְאֶת־כַּסְלֻחִ֗ים אֲשֶׁ֨ר יָצְא֥וּ מִשָּׁ֛ם פְּלִשְׁתִּ֖ים וְאֶת־כַּפְתֹּרִֽים׃
"ספר דברי הימים/דה""א א"	יג	//{{סס}}	{{מ:פסוק|דברי הימים א|א|יג}}	וּכְנַ֗עַן יָלַ֛ד אֶת־צִיד֥וֹן בְּכֹר֖וֹ וְאֶת־חֵֽת׃
"ספר דברי הימים/דה""א א"	יד	__	{{מ:פסוק|דברי הימים א|א|יד}}	וְאֶת־הַיְבוּסִי֙ וְאֶת־הָ֣אֱמֹרִ֔י וְאֵ֖ת הַגִּרְגָּשִֽׁי׃
"ספר דברי הימים/דה""א א"	טו	__	{{מ:פסוק|דברי הימים א|א|טו}}	וְאֶת־הַחִוִּ֥י וְאֶת־הַעַרְקִ֖י וְאֶת־הַסִּינִֽי׃
